[dump] RUN #1 heure=07:45:32 src=SEUIL_GPS rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=34
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-600,40,0.0,-108,-90,1009,3,-1,-2
R,-560,40,0.0,-108,-90,1009,3,-1,-2
R,-520,40,0.0,-108,-90,1010,3,-1,-2
R,-480,40,0.0,-108,-90,1008,3,-1,-1
R,-440,40,0.0,-108,-90,1009,3,-1,-2
R,-400,40,0.0,-108,-91,1010,3,-1,-2
R,-360,40,0.0,-108,-90,1009,3,-1,-2
R,-320,40,0.0,-108,-90,1009,4,-1,-2
R,-280,40,0.0,-108,-90,1010,3,-1,-2
R,-240,40,0.0,-109,-91,1010,3,-1,-2
R,-200,40,0.0,-107,-90,1009,3,-1,-2
R,-160,40,0.0,-108,-90,1009,3,-1,-2
R,-120,40,0.0,-108,-90,1009,3,-1,-2
R,-80,40,0.0,-108,-89,1009,3,-1,-2
R,-40,40,0.0,-108,-89,1009,3,-1,-2
R,40,370,0.1,-108,-90,1009,4,-1,-2
R,80,536,0.3,-109,-90,1009,3,-1,-2
R,120,702,0.5,-108,-89,1009,4,-1,-2
R,159,869,0.8,-108,-89,1008,4,-1,-2
R,200,1035,1.1,-108,-90,1009,3,-1,-2
R,240,1202,1.5,-108,-90,1009,3,-1,-2
R,280,1368,2.0,-109,-90,1009,3,-1,-2
R,320,1534,2.5,-109,-91,1009,4,-1,-2
R,359,1701,3.1,-109,-90,1010,3,-1,-2
R,400,1867,3.8,-108,-89,1009,3,-1,-1
R,440,2034,4.5,-109,-90,1009,4,-1,-2
R,480,2200,5.3,-107,-90,1010,3,-1,-2
R,520,2304,6.1,-107,-90,1009,4,-1,-2
R,559,2408,6.9,-108,-89,1009,3,-1,-2
R,600,2512,7.8,-109,-90,1010,3,-1,-2
R,640,2616,8.8,-108,-89,1009,3,-1,-1
R,680,2720,9.7,-108,-90,1009,4,-1,-2
R,720,2824,10.8,-108,-90,1010,3,-1,-2
R,759,2928,11.8,-108,-91,1009,4,-1,-2
R,799,3032,12.9,-108,-90,1010,3,-1,-2
R,840,3136,14.0,-108,-91,1009,4,-1,-1
R,880,3240,15.2,-108,-90,1010,3,-1,-2
R,920,3344,16.4,-108,-89,1010,3,-1,-2
R,959,3448,17.6,-108,-90,1009,3,-1,-2
R,1000,3526,18.9,-108,-90,1009,4,-1,-2
R,1040,3578,20.2,-109,-90,1009,3,-1,-2
R,1080,3630,21.5,-108,-91,1009,4,-1,-2
R,1119,3682,22.8,-107,-90,1010,3,-1,-1
R,1159,3734,24.1,-108,-90,1009,4,-1,-2
R,1199,3786,25.5,-108,-89,1009,3,-1,-2
R,1240,3838,26.9,-108,-89,1010,3,-1,-2
R,1280,3890,28.4,-108,-90,1009,3,-1,-2
R,1319,3942,29.7,-108,-91,1009,3,-1,-2
R,1359,3994,31.2,-108,-90,1009,4,-1,-2
R,1400,4046,32.7,-108,-89,1009,3,-1,-2
R,1440,4098,34.2,-108,-91,1010,3,-1,-2
R,1480,4150,35.7,-108,-89,1009,4,-1,-2
R,1520,4202,37.2,-108,-90,1009,3,-1,-2
R,1559,4254,38.7,-109,-89,1009,3,-1,-2
R,1600,4306,40.3,-108,-90,1009,3,-1,-2
R,1639,4358,41.8,-108,-91,1009,3,-1,-2
R,1680,4410,43.5,-108,-90,1010,4,-1,-2
R,1720,4462,45.1,-109,-89,1010,3,-1,-2
R,1759,4514,46.7,-109,-89,1009,3,-1,-2
R,1800,4566,48.4,-109,-89,1009,3,-1,-2
R,1840,4618,50.1,-108,-89,1009,4,-1,-2
R,1880,4670,51.8,-108,-89,1009,3,-1,-2
R,1920,4722,53.5,-108,-90,1010,4,-1,-2
R,1959,4774,55.2,-109,-89,1009,3,-1,-2
R,1999,4849,56.9,-108,-90,1010,3,-1,-2
R,2040,4948,58.7,-108,-91,1010,4,-1,-2
R,2080,5047,60.6,-108,-90,1010,3,-1,-2
R,2120,5145,62.4,-108,-90,1009,3,-1,-2
R,2159,5244,64.3,-108,-90,1009,4,-1,-2
R,2200,5343,66.2,-108,-89,1009,3,-1,-2
R,2240,5441,68.2,-107,-89,1010,4,-1,-2
R,2280,5540,70.2,-108,-90,1010,4,-1,-2
R,2320,5639,72.2,-108,-90,1010,3,-1,-2
R,2359,5737,74.3,-108,-90,1010,4,-1,-2
R,2400,5836,76.4,-108,-89,1010,4,-1,-2
R,2440,5935,78.6,-108,-90,1009,4,-1,-2
R,2479,6033,80.7,-108,-90,1009,3,-1,-2
R,2520,6132,83.0,-108,-90,1009,4,-1,-2
R,2559,6231,85.2,-108,-90,1009,4,-1,-2
R,2599,6329,87.5,-108,-90,1010,4,-1,-2
R,2639,6428,89.8,-108,-90,1010,3,-1,-2
R,2680,6527,92.2,-107,-90,1009,4,-1,-2
R,2719,6625,94.5,-108,-89,1009,4,-1,-2
R,2759,6724,97.0,-108,-90,1009,3,-1,-2
R,2800,6823,99.5,-108,-89,1009,3,-1,-2
R,2840,6921,102.0,-108,-90,1010,3,-1,-2
R,2880,7020,104.6,-109,-91,1009,3,-1,-2
R,2920,7119,107.1,-108,-89,1010,3,-1,-2
R,2959,7217,109.7,-109,-90,1009,3,-1,-2
R,3000,7316,112.4,-108,-90,1010,3,-1,-2
R,3040,7415,115.1,-108,-90,1009,4,-1,-2
R,3080,7513,117.8,-108,-89,1009,3,-1,-2
R,3120,7612,120.6,-108,-89,1009,3,-1,-2
R,3159,7711,123.3,-109,-90,1009,3,-1,-1
R,3200,7809,126.2,-108,-90,1010,4,-1,-2
R,3240,7908,129.0,-108,-90,1009,4,-1,-2
R,3280,8007,131.9,-108,-89,1010,3,-1,-2
R,3320,8105,134.9,-108,-90,1009,3,-1,-2
R,3359,8204,137.8,-108,-90,1008,3,-1,-2
R,3400,8303,140.9,-108,-90,1009,3,-1,-2
R,3439,8401,143.8,-109,-89,1009,3,-1,-2
R,3480,8500,147.0,-108,-90,1009,3,-1,-1
R,3520,8545,150.1,-108,-90,1009,4,-1,-2
R,3559,8590,153.1,-107,-90,1009,4,-1,-2
R,3600,8635,156.4,-107,-91,1010,3,-1,-2
R,3640,8680,159.5,-108,-89,1009,3,-1,-2
R,3679,8724,162.6,-108,-89,1009,3,-1,-2
R,3720,8769,165.9,-109,-90,1008,3,-1,-2
R,3759,8814,169.0,-108,-89,1010,4,-1,-2
R,3800,8859,172.3,-108,-90,1009,4,-1,-1
R,3840,8904,175.5,-107,-91,1010,4,-1,-2
R,3880,8949,178.8,-108,-90,1009,3,-1,-2
R,3920,8994,182.1,-108,-90,1009,3,-1,-2
R,3959,9039,185.3,-108,-90,1009,4,-1,-2
R,4000,9084,188.7,-107,-90,1010,4,-1,-2
R,4040,9129,192.0,-107,-89,1009,3,-1,-2
R,4080,9173,195.3,-108,-90,1009,3,-1,-1
R,4120,9218,198.7,-107,-91,1009,4,-1,-2
R,4159,9263,202.0,-108,-90,1009,3,-1,-2
R,4200,9308,205.4,-109,-90,1010,3,-1,-2
R,4240,9353,208.8,-108,-90,1010,4,-1,-2
R,4279,9398,212.2,-108,-90,1009,3,-1,-2
R,4320,9443,215.7,-108,-90,1009,3,-1,-2
R,4359,9488,219.0,-108,-89,1009,3,-1,-2
R,4400,9533,222.6,-109,-90,1010,3,-1,-2
R,4440,9578,226.1,-108,-89,1009,3,-1,-2
R,4480,9622,229.6,-108,-90,1009,3,-1,-2
R,4520,9667,233.1,-108,-90,1009,3,-1,-2
R,4559,9712,236.5,-109,-90,1009,3,-1,-2
R,4600,9757,240.2,-108,-90,1010,3,-1,-2
R,4639,9802,243.6,-108,-90,1009,3,-1,-2
R,4680,9847,247.3,-108,-90,1009,3,-1,-2
R,4720,9892,250.9,-108,-90,1010,3,-1,-2
R,4759,9937,254.4,-108,-90,1009,3,-1,-2
R,4799,9982,258.1,-108,-90,1010,4,-1,-2
R,4840,10027,261.8,-108,-90,1010,3,-1,-2
R,4880,10071,265.5,-108,-91,1010,3,-1,-2
R,4920,10116,269.2,-107,-90,1009,3,-1,-2
R,4959,10161,272.8,-108,-90,1009,3,-1,-2
R,4999,10206,276.5,-109,-90,1010,3,-1,-2
R,5040,10251,280.3,-108,-89,1009,3,-1,-2
R,5080,10296,284.0,-108,-89,1009,3,-1,-2
R,5120,10341,287.8,-108,-89,1009,4,-1,-2
R,5159,10386,291.5,-109,-90,1009,3,-1,-2
R,5200,10431,295.4,-108,-90,1010,4,-1,-2
R,5239,10476,299.1,-109,-90,1010,3,-1,-2
R,5280,10520,303.0,-108,-90,1009,3,-1,-2
R,5320,10565,306.8,-107,-90,1011,3,-1,-2
R,5359,10610,310.6,-108,-90,1009,3,-1,-2
R,5400,10655,314.6,-109,-90,1009,4,-1,-2
R,5440,10700,318.5,-109,-90,1009,4,-1,-2
R,5479,10735,322.3,-109,-90,1009,3,-1,-2
R,5519,10771,326.2,-109,-90,1009,3,-1,-2
R,5559,10806,330.1,-108,-89,1010,3,-1,-2
R,5600,10841,334.2,-109,-90,1010,4,-1,-2
R,5640,10877,338.1,-108,-90,1009,3,-1,-2
R,5680,10912,342.1,-109,-90,1008,3,-1,-2
R,5719,10947,346.0,-109,-90,1009,3,-1,-2
R,5759,10983,350.0,-108,-89,1010,4,-1,-1
R,5800,11018,354.1,-108,-90,1010,4,-1,-1
R,5840,11053,358.1,-108,-90,1009,3,-1,-2
R,5879,11089,362.1,-108,-89,1010,3,-1,-2
R,5920,11124,366.2,-107,-89,1009,4,-1,-2
R,5959,11160,370.2,-108,-89,1010,3,-1,-2
R,5999,11195,374.2,-108,-90,1009,3,-1,-2
R,6040,11230,378.4,-108,-89,1009,3,-1,-2
R,6080,11266,382.5,-108,-90,1009,4,-1,-1
R,6120,11301,386.7,-109,-89,1009,3,-1,-1
R,6159,11336,390.7,-108,-89,1009,3,-1,-2
R,6199,11372,394.8,-108,-90,1009,4,-1,-2
R,6240,11407,399.1,-107,-90,1010,4,-1,-2
R,6280,11442,403.2,-108,-89,1010,3,-1,-2
R,6320,11478,407.4,-107,-89,1010,4,-1,-2
R,6359,11513,411.5,-108,-89,1010,3,-1,-2
R,6400,11548,415.8,-107,-89,1009,4,-1,-2
R,6439,11584,419.9,-108,-89,1009,3,-1,-2
R,6479,11619,424.1,-108,-89,1009,3,-1,-2
R,6519,11654,428.4,-108,-90,1009,3,-1,-2
R,6559,11690,432.6,-108,-90,1009,4,-1,-2
R,6600,11725,437.0,-108,-90,1009,3,-1,-2
R,6640,11760,441.3,-108,-89,1009,3,-1,-2
R,6680,11796,445.6,-109,-90,1009,3,-1,-2
R,6720,11831,449.9,-108,-90,1009,3,-1,-2
R,6759,11867,454.1,-109,-90,1009,4,-1,-2
R,6800,11902,458.5,-109,-90,1010,3,-1,-2
R,6840,11937,462.9,-108,-90,1010,3,-1,-2
R,6880,11973,467.3,-108,-90,1010,3,-1,-2
R,6920,12008,471.6,-108,-90,1010,3,-1,-1
R,6959,12043,475.9,-108,-90,1009,3,-1,-2
R,7000,12079,480.4,-108,-89,1010,4,-1,-2
R,7040,12114,484.8,-108,-90,1010,3,-1,-2
R,7080,12149,489.2,-108,-90,1010,3,-1,-2
